tag_name,event_name,marketing_category,marketing_action,marketing_label,triggers,triggerId,name,type,filter
GA4 | marketing_interaction | NYNP | read the report clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,2024_trends_read_the_report,1367,1367,NYNP read the report clicks,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Read the report'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}]"
GA4 | marketing_interaction | NYNP | read now clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,rbor_read_now,1370,1370,NYNP read now clicks,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Read now'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}]"
GA4 | marketing_interaction | NYNP | register now clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,next_webinar_register_now,1371,1371,NYNP register now clicks,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Register now'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}]"
GA4 | marketing_interaction | advisor online | recommended asset allocations (completes),marketing_interaction,retirement_advice-advisor_online,funnel_progress,completes,1395,1395,RA advisor recommended asset allocation - completes,WINDOW_LOADED,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:RA:ReallocateYourPortfolio'}]}]"
GA4 | marketing_interaction | NYNP | webinar watch now clicks,marketing_interaction,nynp-retirement_resolutions_lp,click,webinar_watch_now,1398,1398,NYNP webinar watch now clicks,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Watch now'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:61482853:PG:5NewYearsFinancialResolutionsForRetirement'}]}]"
GA4 | marketing_interaction | advisor online | continue as guest click,marketing_interaction,retirement_advice-retirement_advisor,click,continue_as_guest,1402,1402,NYCI continue as guest click,LINK_CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Continue as guest'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:1039090373:PG:retirementAdvisor'}]}]"
GA4 | marketing_interaction | advisor online | log in click,marketing_interaction,retirement_advice-retirement_advisor,click,log_in,1404,1404,NYCI LP log in click,LINK_CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Log In'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:1039090373:PG:retirementAdvisor'}]}]"
GA4 | marketing_interaction | open enrollment | explore click,marketing_interaction,open_enrollment-enrollment,click,explore,1407,1407,Open enrollment explore click,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Explore'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'www.tiaa.org/public/tcm'}]}]"
GA4 | marketing_interaction | open enrollment | ready to enroll click,marketing_interaction,open_enrollment-enrollment,click,ready_to_enroll,1409,1409,Open enrollment ready to enroll click - click just links,LINK_CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Ready to enroll'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'www.tiaa.org/public/tcm'}]}]"
GA4 | marketing_interaction | open enrollment | enroll now click,marketing_interaction,open_enrollment-enrollment,click,enroll_now,1411,1411,Open enrollment enroll now click,CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Enroll now'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Public:1845512959:PG:retireWithTiaa'}]}]"
GA4 | marketing_interaction | open enrollment | starts,marketing_interaction,open_enrollment-enrollment,funnel_progress,starts,1415,1415,Open enrollment starts,WINDOW_LOADED,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'MyTIAA:ManageMyAccounts:_PG_OPE:Review Personal Information'}]}]"
GA4 | marketing_interaction | open enrollment | completes,marketing_interaction,open_enrollment-enrollment,funnel_progress,completes,1423,1423,Open enrollment completes,HISTORY_CHANGE,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'shared.tiaa.org/private/participantretirement/ecm/thankyou'}]}]"
GA4 | marketing_interaction | promises B2C | learn more clicks,marketing_interaction,promises-b2c_lp,click,learn_more,1438,1438,Promises B2C - learn more clicks,LINK_CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'promisesPayOff'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'learn more'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'promisespayoff'}]}]"
GA4 | marketing_interaction | promises B2B | see more stories clicks,marketing_interaction,promises-b2b_lp,click,see_more_stories,1454,1454,Promises B2B - see more stories clicks,LINK_CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'promisesPayOff'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'see more stories'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'sharedpromise'}]}]"
GA4 | marketing_interaction | global nav | enroll clicks,marketing_interaction,global_nav,click,enroll,1451,1451,Global nav enroll click,CLICK,"[{'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'Enroll'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}]"
GA4 | marketing_interaction | global nav | open an IRA clicks,marketing_interaction,global_nav,click,open_an_ira,1452,1452,Global nav open an ira click,CLICK,"[{'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'open an ira'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}]"
GA4 | marketing_interaction | global nav | login clicks,marketing_interaction,global_nav,click,login,1455,1455,Global nav - login click,CUSTOM_EVENT,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Classes}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'public-account-login-form-submit'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Link Name}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'log in'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}]"
GA4 | marketing_interaction | promises B2B | learn more clicks,marketing_interaction,promises-b2b_lp,click,learn_more,1462,1462,Promises B2B - learn more clicks,LINK_CLICK,"[{'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Computed | Page Name | Digital Data}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'promisesPayOff'}]}, {'type': 'MATCH_REGEX', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Click Text}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'learn more'}, {'type': 'BOOLEAN', 'key': 'ignore_case', 'value': 'true'}]}, {'type': 'CONTAINS', 'parameter': [{'type': 'TEMPLATE', 'key': 'arg0', 'value': '{{Page URL}}'}, {'type': 'TEMPLATE', 'key': 'arg1', 'value': 'sharedpromise'}]}]"
